kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
69,-0.68,30,1,0,0,0,0,0,1,1,0,131,-0.7034039497375488,-1.0535187721252441,-0.7438008189201355,-0.38190436363220215
66,0.2,25,1,0,1,0,0,0,1,1,0,134,-0.8803672790527344,-0.4996461272239685,0.7831127643585205,0.7835395932197571
63,0.09,200,0,0,0,0,0,1,0,1,0,123,0.26333969831466675,0.2794482409954071,0.36760738492012024,-0.06429070234298706
65,-0.17,100,0,0,0,0,0,1,0,1,0,109,0.7057478427886963,0.4669724702835083,-0.058078180998563766,-0.06318536400794983
68,-0.75,5,1,1,0,0,0,0,1,1,0,116,-1.5128471851348877,-1.1608132123947144,-1.9810634851455688,-1.25700044631958
63,-0.22,100,0,0,0,0,0,0,0,0,0,84,-0.6072758436203003,-0.31598880887031555,-0.8904770016670227,-1.1357768774032593
72,-0.7,20,1,0,0,0,0,1,1,1,0,121,-0.42157354950904846,0.07742530107498169,-0.6304392218589783,-0.06207946315407753
73,-1.18,70,1,0,0,1,0,1,1,0,0,105,-1.5095701217651367,-1.060284972190857,-2.726937770843506,-2.8236987590789795
68,0.13,50,1,0,0,0,1,1,1,0,0,120,-0.7176048159599304,-0.44551554322242737,-1.4947649240493774,-2.3417513370513916
64,-0.93,30,1,0,0,0,0,0,1,1,0,116,-1.1556435823440552,-0.28409022092819214,-0.9968984127044678,-0.19656825065612793
72,-1.31,10,1,0,0,0,0,1,1,1,0,104,-0.7394521832466125,-0.7751324772834778,-2.726937770843506,-2.2595841884613037
68,-0.27,15,1,1,0,0,0,1,1,0,1,105,-0.31561413407325745,-0.24349240958690643,1.0824804306030273,0.7625370621681213
70,-0.47,20,1,1,0,0,0,1,1,1,0,127,-0.9415397644042969,-1.1453473567962646,0.8395623564720154,0.9058685302734375
64,-0.7,100,1,0,1,0,0,0,1,0,0,107,-1.208077073097229,-1.0728509426116943,-1.4646892547607422,-2.3417513370513916
71,-0.62,45,1,1,0,0,0,1,1,0,0,118,-0.4379591941833496,0.038760408759117126,0.12006202340126038,0.4434492290019989
62,-0.85,8,1,1,0,0,0,0,1,1,0,129,-0.7361750602722168,-1.0235533714294434,-0.6022143959999084,-0.8292165994644165
65,-1.11,45,1,1,0,0,0,0,1,0,0,120,-0.6640788912773132,-0.8737276196479797,-0.2986826002597809,-2.5193498134613037
67,-0.21,150,1,1,0,0,0,0,1,1,0,109,-0.7776848673820496,-0.7606332302093506,0.7761725783348083,1.2665927410125732
68,-1.03,3,1,1,0,0,0,1,1,1,0,98,-0.44560572504997253,-0.8176637291908264,0.19501937925815582,0.20689700543880463
68,-0.62,20,1,1,0,0,0,0,1,1,0,129,-0.5450109839439392,-0.8244300484657288,-1.3772387504577637,-0.5362898111343384
70,-0.95,10,1,1,0,0,0,0,1,1,0,111,-1.5161242485046387,-1.3096725940704346,-3.3807342052459717,-1.9025449752807617
