year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,1,72,4 years of college,FEMALE,White,$25000 OR MORE,Ballot c,64
2022,2,80,6 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,3,57,12th grade,FEMALE,White,$25000 OR MORE,Ballot c,63
2022,4,23,4 years of college,FEMALE,White,$5000 TO 5999,Ballot a,-100
2022,5,62,2 years of college,MALE,White,.i:  Inapplicable,Ballot c,71
2022,6,27,12th grade,MALE,White,$25000 OR MORE,Ballot c,72
2022,7,20,12th grade,FEMALE,Other,$25000 OR MORE,Ballot c,63
2022,8,47,4 years of college,MALE,White,$25000 OR MORE,Ballot c,69
2022,9,31,12th grade,FEMALE,White,$15000 - 19999,Ballot a,-100
2022,10,72,12th grade,FEMALE,.i:  Inapplicable,.i:  Inapplicable,Ballot b,-100
2022,11,57,1 year of college,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,12,25,4 years of college,FEMALE,White,$25000 OR MORE,Ballot c,63
2022,13,35,12th grade,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,14,36,12th grade,FEMALE,White,LT $1000,Ballot c,67
2022,15,41,1 year of college,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,16,65,2 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,17,20,1 year of college,FEMALE,Other,.i:  Inapplicable,Ballot b,-100
2022,18,80,4 years of college,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,19,35,11th grade,FEMALE,Black,$10000 - 14999,Ballot c,67
2022,20,89 or older,12th grade,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,21,34,10th grade,FEMALE,Other,$3000 TO 3999,Ballot a,-100
2022,22,55,12th grade,FEMALE,Black,.i:  Inapplicable,Ballot a,-100
2022,23,65,4 years of college,MALE,White,$25000 OR MORE,Ballot a,-100
2022,24,60,2 years of college,FEMALE,Black,$25000 OR MORE,Ballot a,-100
2022,25,28,1 year of college,MALE,White,LT $1000,Ballot a,-100
2022,26,82,12th grade,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,27,59,12th grade,MALE,Other,$25000 OR MORE,Ballot c,70
2022,28,86,12th grade,FEMALE,Black,.i:  Inapplicable,Ballot a,-100
2022,29,36,4 years of college,MALE,Other,.r:  Refused,Ballot c,74
